世代,個体No,実値,適応度, 係数0, 係数1
545,7,-1.240,-12.404,1.74,2.84
546,77,-53.634,-536.338,5.25,7.97
547,42,-3.857,-38.572,2.31,0.53
548,81,-1.102,-11.021,-0.01,1.70
549,24,-2.020,-20.202,2.35,1.54
550,42,-2.665,-26.653,0.67,0.40
551,49,-3.032,-30.320,0.41,3.64
552,82,-0.330,-3.296,1.54,1.79
553,86,-4.509,-45.094,0.24,0.02
554,41,-0.660,-6.598,0.99,2.81
555,23,-11.075,-110.751,0.74,5.32
556,18,-10.973,-109.726,2.13,5.11
557,66,-4.024,-40.236,-0.85,1.22
558,92,-5.567,-55.672,1.86,4.20
559,92,-17.348,-173.478,5.16,1.97
560,43,-0.865,-8.651,0.31,2.62
561,31,-6.734,-67.345,-0.55,4.08
562,53,-3.734,-37.337,-0.81,1.33
563,99,-4.017,-40.173,1.09,-0.00
564,30,-4.189,-41.889,2.56,3.32
565,41,-15.968,-159.681,3.93,4.72
566,97,-2.609,-26.085,-0.30,1.04
567,64,-8.313,-83.130,2.89,-0.18
568,55,-17.068,-170.678,-0.51,-1.85
569,35,-7.940,-79.403,2.40,4.44
570,86,-1.824,-18.238,-0.18,2.66
571,45,-1.228,-12.280,2.02,2.44
572,84,-1.809,-18.094,0.94,3.34
573,71,-5.814,-58.138,1.76,4.29
574,38,-12.634,-126.337,-0.20,-1.34
575,74,-5.828,-58.277,-1.41,2.10
576,91,-13.782,-137.822,0.25,-1.64
577,63,-1.306,-13.055,-0.14,2.11
578,61,-0.801,-8.015,0.79,2.87
579,7,-4.125,-41.247,2.63,3.21
580,7,-5.875,-58.746,2.29,-0.05
581,43,-8.204,-82.039,1.68,4.78
582,83,-2.652,-26.523,2.59,2.35
583,14,-9.135,-91.355,2.91,-0.34
584,10,-1.132,-11.318,0.69,3.02
585,68,-11.240,-112.405,2.23,-1.12
586,32,-0.478,-4.782,1.69,2.06
587,98,-3.686,-36.856,2.92,1.98
588,89,-4.905,-49.053,-1.05,1.16
589,24,-3.162,-31.616,1.08,0.22
590,43,-9.570,-95.698,-1.32,4.04
591,53,-19.539,-195.390,4.53,4.66
592,33,-7.290,-72.897,-0.66,-0.13
593,4,-5.374,-53.742,2.73,3.54
594,63,-12.228,-122.281,4.10,0.38
595,19,-10.852,-108.517,2.95,-0.66
596,23,-0.323,-3.233,1.55,2.14
